threshold,recall,precision,f1,roc_auc,avg_precision,tn,fp,fn,tp,fpr,predicted_positive,model,n_models
0.06402040848241423,1.0,0.08198757763975155,0.1515499425947187,0.8754300391158867,0.3091476495931247,547,739,0,66,0.5746500777604977,805,XGBoost_SMOTE+RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.1396165223134644,1.0,0.08198757763975155,0.1515499425947187,0.8748998539045196,0.33872562753830116,547,739,0,66,0.5746500777604977,805,XGBoost+XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.1712675503167269,1.0,0.08198757763975155,0.1515499425947187,0.8737687921202696,0.31252934608621347,547,739,0,66,0.5746500777604977,805,RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,4
0.1179322972329565,1.0,0.08188585607940446,0.15137614678899083,0.8779513643432773,0.32733871408903203,546,740,0,66,0.5754276827371695,806,LightGBM+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.11796091407403608,1.0,0.08188585607940446,0.15137614678899083,0.87704415853716,0.3306944097771751,546,740,0,66,0.5754276827371695,806,XGBoost+XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.04637215747301494,1.0,0.08188585607940446,0.15137614678899083,0.8769970309628163,0.3282793317385881,546,740,0,66,0.5754276827371695,806,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,7
0.11504969739502002,1.0,0.08188585607940446,0.15137614678899083,0.876313681134832,0.3317446127677588,546,740,0,66,0.5754276827371695,806,XGBoost+LightGBM+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.053766331074396566,1.0,0.08188585607940446,0.15137614678899083,0.8757245864555352,0.3196925684025513,546,740,0,66,0.5754276827371695,806,XGBoost+XGBoost_SMOTE+RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.14111733350660277,1.0,0.08188585607940446,0.15137614678899083,0.8753593477543711,0.31657277185038907,546,740,0,66,0.5754276827371695,806,XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.06251959728927588,1.0,0.08188585607940446,0.15137614678899083,0.8746524341392148,0.3256533609113331,546,740,0,66,0.5754276827371695,806,XGBoost+XGBoost_SMOTE+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.16931732143146477,1.0,0.08188585607940446,0.15137614678899083,0.8742047221829492,0.3394755318647778,546,740,0,66,0.5754276827371695,806,LightGBM+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,4
0.10144138963314961,1.0,0.08178438661710037,0.15120274914089346,0.8771737593666054,0.3285956485239155,545,741,0,66,0.5762052877138414,807,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,7
0.05133224164372186,1.0,0.08178438661710037,0.15120274914089346,0.8768085206654413,0.3313267174392458,545,741,0,66,0.5762052877138414,807,XGBoost+LightGBM+RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.11668162123867454,1.0,0.08178438661710037,0.15120274914089346,0.8762783354540742,0.3367583006598791,545,741,0,66,0.5762052877138414,807,XGBoost+LightGBM+XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.11801376859455366,1.0,0.08178438661710037,0.15120274914089346,0.8760780432631132,0.3241799074411503,545,741,0,66,0.5762052877138414,807,XGBoost+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.11551651665186147,1.0,0.08168316831683169,0.15102974828375287,0.8773976153447383,0.33339618857767117,544,742,0,66,0.5769828926905132,808,XGBoost+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.05243418371851743,1.0,0.08168316831683169,0.15102974828375287,0.876313681134832,0.3279461886043251,544,742,0,66,0.5769828926905132,808,XGBoost+LightGBM+XGBoost_SMOTE+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.07399658349940151,1.0,0.08168316831683169,0.15102974828375287,0.873874829162543,0.33210121303847495,544,742,0,66,0.5769828926905132,808,XGBoost+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,4
0.2246067337556359,1.0,0.08168316831683169,0.15102974828375287,0.869209199302512,0.30199218121776095,544,742,0,66,0.5769828926905132,808,LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,3
0.09950688348144575,1.0,0.0815822002472188,0.15085714285714286,0.8779042367689336,0.3375911076405487,543,743,0,66,0.5777604976671851,809,XGBoost+LightGBM+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,7
0.13670385714517183,1.0,0.0815822002472188,0.15085714285714286,0.8775389980677695,0.34732498941218437,543,743,0,66,0.5777604976671851,809,LightGBM+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.13736981998223374,1.0,0.0815822002472188,0.15085714285714286,0.8754064753287147,0.3302107324756521,543,743,0,66,0.5777604976671851,809,XGBoost+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
